_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
15,3995,None,2023-06-13,Sidewalk Construction,BELLVARE CRES&lt;br&gt; From: DEANVAR AVE&lt;br&gt; To: TOWNLEY AVE ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3100812128341,43.7459700997984],[-79.3100191900564,43.7459519943088],[-79.3099758213092,43.7459249176917],[-79.3099371049422,43.7458978487943],[-79.3098720624656,43.745852734579],[-79.3098411087756,43.7458256785611],[-79.3097745714435,43.7457625575861],[-79.3097713586037,43.7457584863933],[-79.3097390175441,43.7457174986684],[-79.309715852579,43.7456814543724],[-79.309695789212,43.7456454080346],[-79.3096803831314,43.7456093766489],[-79.3096657766321,43.7455643444837],[-79.3096542568292,43.7455283195655],[-79.3096396032489,43.7455012915356],[-79.3096268156336,43.7454903886765],[-79.3096078676308,43.7454742341507],[-79.3095776381602,43.7454651816835],[-79.3095427402454,43.7454561232297],[-79.3095008359614,43.7454560533966],[-79.309413110121,43.74547390867],[-79.3093129284,43.7454917448965],[-79.3089433243596,43.7455631463523],[-79.308936650033,43.7455645168812]]}"
16,4005,None,2023-06-13,Sidewalk Construction,FOSTER PL&lt;br&gt; From: 1 FOSTER PL&lt;br&gt; To: [25 M W] 1 FOSTER PL ,Installation of new sidewalks where none existed before.,Q1 2027 - Q4 2027,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.384451716807,43.6546518942226],[-79.3841548360145,43.6547277848097]]}"
17,4024, ,2023-10-11,Sidewalk Construction,TROPHY DR&lt;br&gt; From: ECCLESTON DR&lt;br&gt; To: SLOANE AVE ,Installation of new sidewalks where none existed before.,Q4 2026 - Q4 2027,Active,None,Transportation Services,"Ehsan Movahedi, Engineering and Construction Services",emovahe@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3138225949743,43.7274015337327],[-79.3137918357962,43.7274419900955],[-79.3137715693388,43.7274734614082],[-79.3137181833984,43.7275543864505],[-79.3136725832667,43.7276218223033],[-79.3136215866882,43.7276802571023],[-79.3135516130106,43.7277341432035],[-79.3134633789335,43.7277925081819],[-79.313337592425,43.7278283104809],[-79.313209112597,43.7278596076215],[-79.3130736180134,43.7278953937643],[-79.3129730675151,43.7279222446936],[-79.3115765614242,43.7281990074513],[-79.3114717792789,43.7282168389452],[-79.3113875710036,43.7282212015401],[-79.3112828842118,43.7282165389293],[-79.3111708561868,43.7281938427204],[-79.3110852335642,43.7281577061951],[-79.31099153802,43.7280990342634],[-79.3109214861705,43.7280494116057],[-79.3108653701526,43.7280088132013],[-79.3108270638175,43.7279772544837],[-79.3106938923355,43.7278960129743]]}"
18,4700,None,2023-12-19,Sidewalk Construction,BURLEIGH HTS DR&lt;br&gt; From: BURBANK DR&lt;br&gt; To: BAYVIEW AVE ,Installation of new sidewalks where none existed before.,Q1 2027 - Q3 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3870595571356,43.7799204527862],[-79.387933920569,43.7797233294267],[-79.38868875933,43.7795598445651],[-79.389148782001,43.779472420568],[-79.3893805539853,43.7794582675764],[-79.3895443956219,43.7794435885267],[-79.3896849757704,43.7794520170648],[-79.3899463810968,43.77947685753],[-79.3900819138556,43.7794805290091],[-79.3901926473416,43.7794774751433],[-79.3904510097333,43.7794442459705],[-79.3909171781257,43.7793747492478]]}"
19,4754, ,2024-04-26,Sidewalk Construction,MINUK ACRES&lt;br&gt; From: BEECHGROVE DR&lt;br&gt; To: [193 m S] BEECHGROVE DR [CUL-DE-SAC] ,Installation of new sidewalks where none existed before.,Q2 2026 - Q4 2026,Active,None,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1578992581969,43.7663211783042],[-79.1579477710083,43.7662314198049],[-79.1579588735707,43.7660470235359],[-79.1579068533898,43.765920147557],[-79.1573528687072,43.7646543904454]]}"
20,4805,None,2024-03-06,Sidewalk Construction,STAFFORD RD&lt;br&gt; From: ELLERSLIE AVE&lt;br&gt; To: [N] HOUNSLOW AVE ,Installation of new sidewalks where none existed before.,Q1 2027 - Q3 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.436635958202,43.7664165315088],[-79.4367271716271,43.7666264183885],[-79.4369772560031,43.7672018622749],[-79.4369818455235,43.7672124240855],[-79.4371974309506,43.7677084877404],[-79.4373891396098,43.7681271385663],[-79.4375792824669,43.7685502878718],[-79.4379669639905,43.7694100930138],[-79.4383185454611,43.7702698862364]]}"
21,4976,TS2023-15-006,2024-06-26,Sidewalk Construction,THE BRIDLE PATH&lt;br&gt; From: BAYVIEW AVE&lt;br&gt; To: TIMBERGLADE CRT ,Installation of new sidewalks where none existed before.,Q3 2024 - Q2 2026 (Carry-Over),Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2024,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3822969117696,43.7385257312075],[-79.3809399577641,43.7388084673418],[-79.3781692763482,43.739368560522],[-79.375655524588,43.7398809959938],[-79.3754164417334,43.7399281819757],[-79.3753322153297,43.7399709044375],[-79.3752644649023,43.7400135719084],[-79.37522303406,43.7400443765641],[-79.3751875403775,43.7400618739855],[-79.3751520330384,43.7400793614797],[-79.3751138776274,43.7400866575902],[-79.3750735064446,43.740084842033],[-79.3750467370264,43.7400795200553],[-79.3750265536145,43.740071298779],[-79.3750010491297,43.7400421879529],[-79.3749895840118,43.739995566204],[-79.3749840549609,43.7399356102399],[-79.3749772379396,43.7398687570324],[-79.3749769068464,43.7398172597968],[-79.3749711404811,43.7397645675544],[-79.3749631836111,43.7396715555544],[-79.3749402660273,43.7395783021538],[-79.3748983366336,43.7394556758636],[-79.3748588304262,43.7393505136745],[-79.3748128240472,43.7392923694233],[-79.3747785014396,43.7392580281778],[-79.3747335132574,43.7392296439423],[-79.3747010485269,43.7392152883175]]}"
22,5044,None,2024-04-24,Sidewalk Construction,EARL RD&lt;br&gt; From: [45M E ] DOREST RD&lt;br&gt; To: DOREST RD ,Installation of new sidewalks where none existed before.,Q2 2025 - Q4 2025,Active,None,Transportation Services,"Dennis Coronel, Engineering and Construction Services",dcorone@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2315074593834,43.7224937276135],[-79.2315700588669,43.7224792530218],[-79.2320607913199,43.7223657798869]]}"
23,5233, ,2024-06-26,Sidewalk Construction,WANLESS CRES&lt;br&gt; From: WANLESS AVE&lt;br&gt; To: [E] BRAESIDE RD [CITY LIMITS] ,Installation of new sidewalks where none existed before.,Q4 2025 - Q3 2026 (Carry-Over),Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3902974312957,43.7284420446276],[-79.390371317861,43.728473161684],[-79.3905152493255,43.7284986948301],[-79.3906592049065,43.7285171789492],[-79.3908440224484,43.7285230020713],[-79.3910035909218,43.7285161081759],[-79.3912021026766,43.7284866571272],[-79.3913656441166,43.7284317890138],[-79.3915331273827,43.7283515391172],[-79.3916480509961,43.7282867302922],[-79.3917883247868,43.7281852734111],[-79.3918682376245,43.7281035079852],[-79.3919579460683,43.7279921376891],[-79.3920067177683,43.7279145742056],[-79.392057487223,43.7278172629703],[-79.3920926624174,43.7277284089555],[-79.3921239543733,43.7275686026018]]}"
24,5794,None,2024-09-13,Sidewalk Construction,NEILSON DR&lt;br&gt; From: BLOOR ST W&lt;br&gt; To: RADWAY AVE ,Installation of new sidewalks where none existed before.,Q4 2026 - Q1 2029,Active,None,Transportation Services,"Shailaja Patel, Engineering and Construction Services",spatelz@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5672297362371,43.6344501702609],[-79.5668831677517,43.6335959961138],[-79.5667586653248,43.6332891323656],[-79.5666117211089,43.6329345786852],[-79.5663066210757,43.6321983695096]]}"
25,5926,None,2024-08-28,Sidewalk Construction,BELFIELD RD&lt;br&gt; From: MARTIN GROVE&lt;br&gt; To: [85M] EAST OF MARTIN GROVE ,Installation of new sidewalks where none existed before.,Q3 2026 - Q2 2027,Active,None,Transportation Services,"Matthew McAinsh, Engineering and Construction Services",mmcains@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5754397196973,43.7019760996557],[-79.5749137148849,43.702102551719],[-79.5743993820713,43.702226195265]]}"
26,6180, ,2025-06-06,Sidewalk Construction,SCARBOROUGH GOLF CLUB RD&lt;br&gt; From: HILL CRES&lt;br&gt; To: KINGSTON RD ,Installation of new sidewalks where none existed before.,Q3 2026 - Q3 2027,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.2078915038083,43.7425244704819],[-79.209349259848,43.7460026483359]]}"
27,6423,None,2025-04-16,Sidewalk Construction,KOOS RD&lt;br&gt; From: BLOOR ST W&lt;br&gt; To: RADWAY DR ,Installation of new sidewalks where none existed before.,Q4 2026 - Q1 2029,Active,None,Transportation Services,"Shailaja Patel, Engineering and Construction Services",spatelz@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2026,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5660151329544,43.6347305727737],[-79.5654231103812,43.6334734409885],[-79.5650136412951,43.6325048227383]]}"
28,6477,None,2025-06-10,Sidewalk Construction,"SORAUREN AVE
&lt;br&gt; From: FERMANAGH AVE
&lt;br&gt; To: [50M S] FERMANAGH AVE
 ",Installation of new sidewalks where none existed before.,Q3 2025 - Q3 2026,Active,None,Transportation Services,"Ehsan Movahedi, Engineering and Construction Services",emovahe@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4438790955198,43.6473388825922],[-79.4436886856426,43.6468596462286]]}"
29,6501,None,2025-06-10,Sidewalk Construction,NEILSON DR&lt;br&gt; From: RICKSHAW AVE&lt;br&gt; To: [70M N] DUNDAS ST W ,Installation of new sidewalks where none existed before.,Q1 2026 - Q3 2026,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5634863112574,43.6300395978816],[-79.563517914569,43.6298857213108],[-79.5629631438074,43.6286493824357],[-79.5627608895634,43.6281986281404]]}"
30,8548,None,2023-06-26,Sidewalk Construction,ROXALINE ST&lt;br&gt; From: LAWRENCE AVE W&lt;br&gt; To: LOCKHEED BLVD ,Installation of new sidewalks where none existed before.,2027,Active,None,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5296857521618,43.696808470649],[-79.5297720554932,43.6970095207682],[-79.529811748884,43.69710198695],[-79.5303878682734,43.6984440530543],[-79.5303898690705,43.6985072019389]]}"
31,8948,None,2024-03-08,Sidewalk Construction,ST LEONARDS AVE&lt;br&gt; From: [155 m W] MILDENHALL RD&lt;br&gt; To: BAYVIEW AVE ,Installation of new sidewalks where none existed before.,Q4 2027 - Q1 2030,Active,None,Transportation Services,"Harry Persaud, Engineering and Construction Services",hpersau3@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3868494142031,43.7241618717592],[-79.3868376928893,43.7241643255961],[-79.3849823905845,43.7245527091598],[-79.3840849904927,43.7247559634183],[-79.3821241626606,43.7251647415177],[-79.3811784911169,43.7253741502017],[-79.3811055734359,43.7253902874149],[-79.3805056326315,43.7255196748337],[-79.3803609219243,43.7255508846843],[-79.380203634747,43.7255848040467]]}"
32,9293,None,2024-01-10,Sidewalk Construction,HICKORY TREE RD&lt;br&gt; From: WILBY CRES&lt;br&gt; To: [27M W] of WILBY CRES ,Installation of new sidewalks where none existed before.,Q4 2025 - Q3 2026 (Carry-Over),Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.5115388044637,43.6979602990809],[-79.5116934229748,43.697740333338]]}"
33,9505,None,2024-03-08,Sidewalk Construction,LAURA SECORD WALK&lt;br&gt; From: HOWDEN RD&lt;br&gt; To: BIRCHMOUNT RD ,Installation of new sidewalks where none existed before.,2027 - Q4 2027,Active,None,Transportation Services,"Marfique Ahmed, Engineering and Construction Services",mahmed2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2027,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.291336668009,43.7550378059704],[-79.2912657562675,43.7551186890288],[-79.2911826239867,43.7551455416584],[-79.2910878747876,43.7551633718017],[-79.2897650315319,43.755475993406],[-79.2884000834989,43.7558144739756]]}"
34,9539,None,2025-04-07,Sidewalk Construction,VANDERHOOF AVE&lt;br&gt; From: BRENTCLIFFE RD&lt;br&gt; To: GLASSWORKS DR ,Installation of new sidewalks where none existed before.,Q1 2026 - Q4 2026,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.3590976244927,43.7128793897166],[-79.3570455272664,43.7133463150525],[-79.3562198158653,43.7135225106125],[-79.3553815719339,43.7137013730225],[-79.354497826735,43.7138864299436],[-79.3536158644629,43.7140678638025]]}"
35,9559, ,2024-06-26,Sidewalk Construction,RAVINE PARK CRES&lt;br&gt; From: PORT UNION RD&lt;br&gt; To: PARLETTE AVE ,Installation of new sidewalks where none existed before.,Q3 2025 - Q4 2025,Active,None,Transportation Services,"Christy Manoharan, Engineering and Construction Services",cmanoha@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.1402038085444,43.788027063284],[-79.1399708520523,43.7880669896153],[-79.1398021329761,43.7881024634515],[-79.1396053927714,43.7881468507184],[-79.1393940639562,43.7881641882112],[-79.1392417538108,43.7881817116197],[-79.1391477437205,43.7881904168755]]}"
36,9678,None,2024-04-24,Sidewalk Construction,SHEFFIELD ST&lt;br&gt; From: INGRAM DR&lt;br&gt; To: [175M N] INGRAM DR ,Installation of new sidewalks where none existed before.,Q3 2025 - Q3 2026,Active,None,Transportation Services,"Nicholas Mah, Engineering and Construction Services",nmah@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/walking-in-toronto/,TS_Sidewalk,12,2025,EXTERNAL,"{""type"":""LineString"",""coordinates"":[[-79.4694488541675,43.7008606380823],[-79.4692210047793,43.7009155306803],[-79.4689855375216,43.7009840396955],[-79.4689088452818,43.701022040273],[-79.468861916285,43.7010644136316],[-79.4688370716537,43.7011044355581],[-79.4688307310016,43.7011656146362],[-79.4688739272628,43.7012998787105],[-79.4691976759529,43.7021175904873]]}"
